类别,google_gemini-3-flash-preview_准确率(%),google_gemini-3-flash-preview_正确数,google_gemini-3-flash-preview_总数,openai_gpt-5.2-chat_准确率(%),openai_gpt-5.2-chat_正确数,openai_gpt-5.2-chat_总数,qwen_qwen3-vl-30b-a3b-instruct_准确率(%),qwen_qwen3-vl-30b-a3b-instruct_正确数,qwen_qwen3-vl-30b-a3b-instruct_总数,anthropic_claude-sonnet-4.5_准确率(%),anthropic_claude-sonnet-4.5_正确数,anthropic_claude-sonnet-4.5_总数,mistralai_ministral-8b-2512_准确率(%),mistralai_ministral-8b-2512_正确数,mistralai_ministral-8b-2512_总数,google_gemma-3-12b-it_准确率(%),google_gemma-3-12b-it_正确数,google_gemma-3-12b-it_总数
全量数据汇总,67.23,,1544,58.1,,1544,46.31,,1544,45.04,,1544,24.55,,1544,23.9,,1544
人文地理,62.5,35,56,30.36,17,56,37.5,21,56,42.86,24,56,25,14,56,14.29,8,56
光学实验装置,80,36,45,64.44,29,45,75.56,34,45,55.56,25,45,28.89,13,45,31.11,14,45
光学示意图,83.72,36,43,72.09,31,43,65.12,28,43,65.12,28,43,27.91,12,43,25.58,11,43
函数,57.5,46,80,58.75,47,80,42.5,34,80,37.5,30,80,18.75,15,80,30,24,80
分子结构,75,60,80,65,52,80,42.5,34,80,51.25,41,80,18.75,15,80,26.25,21,80
力学实验装置,68.89,31,45,55.56,25,45,35.56,16,45,36.36,16,44,17.78,8,45,24.44,11,45
化学实验装置,74,37,50,68,34,50,68,34,50,60,30,50,30,15,50,24,12,50
历史,74.32,55,74,56.76,42,74,47.3,35,74,37.84,28,74,29.73,22,74,20.27,15,74
受力分析图,53.33,24,45,62.22,28,45,57.78,26,45,44.44,20,45,13.33,6,45,17.78,8,45
地形图和等值图,63.64,35,55,67.27,37,55,49.09,27,55,50.91,28,55,27.27,15,55,29.09,16,55
地球运动与自然带分布图,70,35,50,58,29,50,40,20,50,52,26,50,32,16,50,20,10,50
地质学,60,30,50,54,27,50,36,18,50,30,15,50,34,17,50,26,13,50
大气环境,67.21,41,61,55.74,34,61,37.7,23,61,50.82,31,61,16.39,10,61,26.23,16,61
平面几何,65,39,60,65,39,60,41.67,25,60,50,30,60,25,15,60,26.67,16,60
政治,75.68,28,37,64.86,24,37,27.03,10,37,56.76,21,37,24.32,9,37,18.92,7,37
数据表格或图表,50,50,100,26,26,100,24,24,100,27,27,100,15,15,100,18,18,100
有机化学方程式与流程图,66.15,43,65,81.54,53,65,55.38,36,65,53.85,35,65,40,26,65,23.08,15,65
染色体,78.46,51,65,55.38,36,65,43.08,28,65,41.54,27,65,33.85,22,65,18.46,12,65
测量仪器,56.67,34,60,48.33,29,60,43.33,26,60,38.33,23,60,16.67,10,60,36.67,22,60
生态环境与生物过程流程图,81.16,56,69,66.67,46,69,50.72,35,69,31.88,22,69,23.19,16,69,23.19,16,69
生物实验装置,86.79,46,53,64.15,34,53,62.26,33,53,37.74,20,53,20.75,11,53,33.96,18,53
电子电路,79.37,50,63,76.19,48,63,73.02,46,63,52.38,33,63,34.92,22,63,30.16,19,63
电磁场示意图与实验装置,77.05,47,61,77.05,47,61,52.46,32,61,57.38,35,61,31.15,19,61,24.59,15,61
矩阵,51.67,31,60,41.67,25,60,51.67,31,60,58.33,35,60,23.33,14,60,8.33,5,60
立体几何,35.71,25,70,44.29,31,70,21.43,15,70,24.29,17,70,12.86,9,70,15.71,11,70
细胞结构与组织结构,78.72,37,47,57.45,27,47,51.06,24,47,59.57,28,47,27.66,13,47,34.04,16,47
